JDTDB, Calendar Date (TDB), X, Y, Z, VX, VY, VZ,
2460603.500000000, A.D. 2024-Oct-20 00:00:00.0000,  1.330220204950462E+08,  6.704428213911822E+07, -4.869615619417280E+03, -1.388147557815389E+01,  2.648201172585550E+01, -2.139618660997655E-03,
2460603.541666667, A.D. 2024-Oct-20 01:00:00.0000,  1.329720126889044E+08,  6.713960014048895E+07, -4.877298885978758E+03, -1.390063806970014E+01,  2.647243121293655E+01, -2.128852643853207E-03,
2460603.583333333, A.D. 2024-Oct-20 02:00:00.0000,  1.329219359072514E+08,  6.723488362752038E+07, -4.884943286478519E+03, -1.391979530538427E+01,  2.646283709086383E+01, -2.118026645902660E-03,
2460603.625000000, A.D. 2024-Oct-20 03:00:00.0000,  1.328717901690222E+08,  6.733013255119753E+07, -4.892548607636243E+03, -1.393894727729608E+01,  2.645322934741466E+01, -2.107142147115937E-03,
2460603.666666667, A.D. 2024-Oct-20 04:00:00.0000,  1.328215754931811E+08,  6.742534686246151E+07, -4.900114641513675E+03, -1.395809397728850E+01,  2.644360797041061E+01, -2.096200626473532E-03,
2460603.708333333, A.D. 2024-Oct-20 05:00:00.0000,  1.327712918987221E+08,  6.752052651220965E+07, -4.907641185492277E+03, -1.397723539698002E+01,  2.643397294772160E+01, -2.085203561559723E-03,
2460603.750000000, A.D. 2024-Oct-20 06:00:00.0000,  1.327209394046695E+08,  6.761567145129578E+07, -4.915128042273223E+03, -1.399637152775703E+01,  2.642432426726971E+01, -2.074152428200193E-03,
2460603.791666667, A.D. 2024-Oct-20 07:00:00.0000,  1.326705180300795E+08,  6.771078163053025E+07, -4.922575019862503E+03, -1.401550236077630E+01,  2.641466191703296E+01, -2.063048700076564E-03,
2460603.833333333, A.D. 2024-Oct-20 08:00:00.0000,  1.326200277940401E+08,  6.780585700068031E+07, -4.929981931563467E+03, -1.403462788696750E+01,  2.640498588504907E+01, -2.051893848367570E-03,
2460603.875000000, A.D. 2024-Oct-20 09:00:00.0000,  1.325694687156727E+08,  6.790089751247025E+07, -4.937348595980555E+03, -1.405374809703582E+01,  2.639529615941905E+01, -2.040689341388457E-03,
2460603.916666667, A.D. 2024-Oct-20 10:00:00.0000,  1.325188408141322E+08,  6.799590311658156E+07, -4.944674836993217E+03, -1.407286298146460E+01,  2.638559272831073E+01, -2.029436644235716E-03,
2460603.958333333, A.D. 2024-Oct-20 11:00:00.0000,  1.324681441086086E+08,  6.809087376365337E+07, -4.951960483752191E+03, -1.409197253051803E+01,  2.637587557996219E+01, -2.018137218454896E-03,
2460604.000000000, A.D. 2024-Oct-20 12:00:00.0000,  1.324173786183269E+08,  6.818580940428257E+07, -4.959205370642245E+03, -1.411107673424393E+01,  2.636614470268512E+01, -2.006792521697776E-03,
2460604.041666667, A.D. 2024-Oct-20 13:00:00.0000,  1.323665443625486E+08,  6.828070998902407E+07, -4.966409337326884E+03, -1.413017558247653E+01,  2.635640008486804E+01, -1.995404007395507E-03,
