JDTDB, Calendar Date (TDB), X, Y, Z, VX, VY, VZ,
2460604.291666667, A.D. 2024-Oct-20 19:00:00.0000,  1.320600958358424E+08,  6.884937454969656E+07, -5.008765488877892E+03, -1.424465561104832E+01,  2.629764318684249E+01, -1.926233535462174E-03,
2460604.292361111, A.D. 2024-Oct-20 19:01:00.0000,  1.320592411469739E+08,  6.885095240337063E+07, -5.008881057064980E+03, -1.424497333989295E+01,  2.629747928145492E+01, -1.926039559080550E-03,
2460604.293055556, A.D. 2024-Oct-20 19:02:00.0000,  1.320583864390417E+08,  6.885253024721026E+07, -5.008996613625437E+03, -1.424529106722853E+01,  2.629731537222856E+01, -1.925845573310880E-03,
2460604.293750000, A.D. 2024-Oct-20 19:03:00.0000,  1.320575317120459E+08,  6.885410808121522E+07, -5.009112158533186E+03, -1.424560879305501E+01,  2.629715145916338E+01, -1.925651578172705E-03,
2460604.294444445, A.D. 2024-Oct-20 19:04:00.0000,  1.320566769659865E+08,  6.885568590538529E+07, -5.009227691814303E+03, -1.424592651737234E+01,  2.629698754225931E+01, -1.925457573666023E-03,
2460604.295138889, A.D. 2024-Oct-20 19:05:00.0000,  1.320558222008638E+08,  6.885726371972021E+07, -5.009343213442713E+03, -1.424624424018046E+01,  2.629682362151631E+01, -1.925263559801493E-03,
2460604.295833333, A.D. 2024-Oct-20 19:06:00.0000,  1.320549674166777E+08,  6.885884152421978E+07, -5.009458723437041E+03, -1.424656196147931E+01,  2.629665969693433E+01, -1.925069536584445E-03,
2460604.296527778, A.D. 2024-Oct-20 19:07:00.0000,  1.320541126134284E+08,  6.886041931888378E+07, -5.009574221789837E+03, -1.424687968126885E+01,  2.629649576851333E+01, -1.924875504027312E-03,
2460604.297222222, A.D. 2024-Oct-20 19:08:00.0000,  1.320532577911160E+08,  6.886199710371193E+07, -5.009689708493650E+03, -1.424719739954901E+01,  2.629633183625323E+01, -1.924681462122990E-03,
2460604.297916667, A.D. 2024-Oct-20 19:09:00.0000,  1.320524029497405E+08,  6.886357487870404E+07, -5.009805183563381E+03, -1.424751511631975E+01,  2.629616790015400E+01, -1.924487410885689E-03,
2460604.298611111, A.D. 2024-Oct-20 19:10:00.0000,  1.320515480893021E+08,  6.886515264385988E+07, -5.009920646984130E+03, -1.424783283158101E+01,  2.629600396021559E+01, -1.924293350329620E-03,
2460604.299305555, A.D. 2024-Oct-20 19:11:00.0000,  1.320506932098008E+08,  6.886673039917919E+07, -5.010036098767072E+03, -1.424815054533274E+01,  2.629584001643795E+01, -1.924099280445901E-03,
2460604.300000000, A.D. 2024-Oct-20 19:12:00.0000,  1.320498383112367E+08,  6.886830814466178E+07, -5.010151538901031E+03, -1.424846825757488E+01,  2.629567606882101E+01, -1.923905201254072E-03,
2460604.300694444, A.D. 2024-Oct-20 19:13:00.0000,  1.320489833936099E+08,  6.886988588030738E+07, -5.010266967389733E+03, -1.424878596830738E+01,  2.629551211736474E+01, -1.923711112752358E-03,
2460604.301388889, A.D. 2024-Oct-20 19:14:00.0000,  1.320481284569205E+08,  6.887146360611577E+07, -5.010382384233177E+03, -1.424910367753018E+01,  2.629534816206909E+01, -1.923517014951415E-03,
2460604.302083333, A.D. 2024-Oct-20 19:15:00.0000,  1.320472735011686E+08,  6.887304132208675E+07, -5.010497789431363E+03, -1.424942138524323E+01,  2.629518420293399E+01, -1.923322907856573E-03,
2460604.302777778, A.D. 2024-Oct-20 19:16:00.0000,  1.320464185263543E+08,  6.887461902822006E+07, -5.010613182984293E+03, -1.424973909144648E+01,  2.629502023995941E+01, -1.923128791473161E-03,
2460604.303472222, A.D. 2024-Oct-20 19:17:00.0000,  1.320455635324777E+08,  6.887619672451547E+07, -5.010728564884514E+03, -1.425005679613986E+01,  2.629485627314530E+01, -1.922934665811837E-03,
2460604.304166667, A.D. 2024-Oct-20 19:18:00.0000,  1.320447085195388E+08,  6.887777441097276E+07, -5.010843935139477E+03, -1.425037449932334E+01,  2.629469230249159E+01, -1.922740530874378E-03,
2460604.304861111, A.D. 2024-Oct-20 19:19:00.0000,  1.320438534875378E+08,  6.887935208759169E+07, -5.010959293752909E+03, -1.425069220099684E+01,  2.629452832799824E+01, -1.922546386669666E-03,
2460604.305555556, A.D. 2024-Oct-20 19:20:00.0000,  1.320429984364747E+08,  6.888092975437205E+07, -5.011074640709907E+03, -1.425100990116033E+01,  2.629436434966521E+01, -1.922352233203029E-03,
2460604.306250000, A.D. 2024-Oct-20 19:21:00.0000,  1.320421433663497E+08,  6.888250741131356E+07, -5.011189976014197E+03, -1.425132759981374E+01,  2.629420036749243E+01, -1.922158070483349E-03,
2460604.306944444, A.D. 2024-Oct-20 19:22:00.0000,  1.320412882771628E+08,  6.888408505841607E+07, -5.011305299676955E+03, -1.425164529695701E+01,  2.629403638147986E+01, -1.921963898512402E-03,
2460604.307638889, A.D. 2024-Oct-20 19:23:00.0000,  1.320404331689141E+08,  6.888566269567928E+07, -5.011420611687005E+03, -1.425196299259011E+01,  2.629387239162746E+01, -1.921769717307953E-03,
2460604.308333333, A.D. 2024-Oct-20 19:24:00.0000,  1.320395780416037E+08,  6.888724032310298E+07, -5.011535912044346E+03, -1.425228068671295E+01,  2.629370839793516E+01, -1.921575526857566E-03,
2460604.309027778, A.D. 2024-Oct-20 19:25:00.0000,  1.320387228952317E+08,  6.888881794068694E+07, -5.011651200745255E+03, -1.425259837932552E+01,  2.629354440040292E+01, -1.921381327187888E-03,
2460604.309722222, A.D. 2024-Oct-20 19:26:00.0000,  1.320378677297982E+08,  6.889039554843095E+07, -5.011766477800906E+03, -1.425291607042773E+01,  2.629338039903068E+01, -1.921187118293588E-03,
2460604.310416667, A.D. 2024-Oct-20 19:27:00.0000,  1.320370125453033E+08,  6.889197314633475E+07, -5.011881743200123E+03, -1.425323376001953E+01,  2.629321639381840E+01, -1.920992900181773E-03,
2460604.311111111, A.D. 2024-Oct-20 19:28:00.0000,  1.320361573417470E+08,  6.889355073439813E+07, -5.011996996950358E+03, -1.425355144810088E+01,  2.629305238476604E+01, -1.920798672863100E-03,
2460604.311805556, A.D. 2024-Oct-20 19:29:00.0000,  1.320353021191295E+08,  6.889512831262085E+07, -5.012112239040434E+03, -1.425386913467172E+01,  2.629288837187352E+01, -1.920604436341122E-03,
2460604.312500000, A.D. 2024-Oct-20 19:30:00.0000,  1.320344468774509E+08,  6.889670588100268E+07, -5.012227469481528E+03, -1.425418681973199E+01,  2.629272435514082E+01, -1.920410190622945E-03,
2460604.313194444, A.D. 2024-Oct-20 19:31:00.0000,  1.320335916167112E+08,  6.889828343954340E+07, -5.012342688266188E+03, -1.425450450328165E+01,  2.629256033456786E+01, -1.920215935715675E-03,
2460604.313888889, A.D. 2024-Oct-20 19:32:00.0000,  1.320327363369105E+08,  6.889986098824275E+07, -5.012457895394415E+03, -1.425482218532062E+01,  2.629239631015461E+01, -1.920021671628191E-03,
2460604.314583333, A.D. 2024-Oct-20 19:33:00.0000,  1.320318810380490E+08,  6.890143852710053E+07, -5.012573090869933E+03, -1.425513986584887E+01,  2.629223228190102E+01, -1.919827398364049E-03,
2460604.315277778, A.D. 2024-Oct-20 19:34:00.0000,  1.320310257201267E+08,  6.890301605611649E+07, -5.012688274674118E+03, -1.425545754486633E+01,  2.629206824980703E+01, -1.919633115928576E-03,
2460604.315972222, A.D. 2024-Oct-20 19:35:00.0000,  1.320301703831436E+08,  6.890459357529044E+07, -5.012803446840495E+03, -1.425577522237296E+01,  2.629190421387258E+01, -1.919438824327102E-03,
2460604.316666667, A.D. 2024-Oct-20 19:36:00.0000,  1.320293150271000E+08,  6.890617108462209E+07, -5.012918607339263E+03, -1.425609289836869E+01,  2.629174017409765E+01, -1.919244523572061E-03,
2460604.317361111, A.D. 2024-Oct-20 19:37:00.0000,  1.320284596519959E+08,  6.890774858411124E+07, -5.013033756181598E+03, -1.425641057285348E+01,  2.629157613048217E+01, -1.919050213667006E-03,
2460604.318055556, A.D. 2024-Oct-20 19:38:00.0000,  1.320276042578313E+08,  6.890932607375768E+07, -5.013148893367499E+03, -1.425672824582726E+01,  2.629141208302609E+01, -1.918855894619043E-03,
2460604.318750000, A.D. 2024-Oct-20 19:39:00.0000,  1.320267488446064E+08,  6.891090355356114E+07, -5.013264018889517E+03, -1.425704591728999E+01,  2.629124803172937E+01, -1.918661566429947E-03,
2460604.319444444, A.D. 2024-Oct-20 19:40:00.0000,  1.320258934123213E+08,  6.891248102352139E+07, -5.013379132747650E+03, -1.425736358724160E+01,  2.629108397659194E+01, -1.918467229110377E-03,
2460604.320138889, A.D. 2024-Oct-20 19:41:00.0000,  1.320250379609760E+08,  6.891405848363826E+07, -5.013494234960526E+03, -1.425768125568205E+01,  2.629091991761377E+01, -1.918272882670990E-03,
2460604.320833333, A.D. 2024-Oct-20 19:42:00.0000,  1.320241824905706E+08,  6.891563593391144E+07, -5.013609325498343E+03, -1.425799892261128E+01,  2.629075585479480E+01, -1.918078527115341E-03,
2460604.321527778, A.D. 2024-Oct-20 19:43:00.0000,  1.320233270011053E+08,  6.891721337434076E+07, -5.013724404376000E+03, -1.425831658802923E+01,  2.629059178813498E+01, -1.917884162439876E-03,
2460604.322222222, A.D. 2024-Oct-20 19:44:00.0000,  1.320224714925801E+08,  6.891879080492595E+07, -5.013839471597224E+03, -1.425863425193585E+01,  2.629042771763426E+01, -1.917689788667687E-03,
2460604.322916667, A.D. 2024-Oct-20 19:45:00.0000,  1.320216159649951E+08,  6.892036822566678E+07, -5.013954527150840E+03, -1.425895191433109E+01,  2.629026364329258E+01, -1.917495405796998E-03,
2460604.323611111, A.D. 2024-Oct-20 19:46:00.0000,  1.320207604183504E+08,  6.892194563656306E+07, -5.014069571044296E+03, -1.425926957521488E+01,  2.629009956510991E+01, -1.917301013829587E-03,
2460604.324305556, A.D. 2024-Oct-20 19:47:00.0000,  1.320199048526461E+08,  6.892352303761452E+07, -5.014184603273869E+03, -1.425958723458719E+01,  2.628993548308618E+01, -1.917106612781438E-03,
2460604.325000000, A.D. 2024-Oct-20 19:48:00.0000,  1.320190492678823E+08,  6.892510042882095E+07, -5.014299623843282E+03, -1.425990489244794E+01,  2.628977139722137E+01, -1.916912202656107E-03,
2460604.325694445, A.D. 2024-Oct-20 19:49:00.0000,  1.320181936640590E+08,  6.892667781018211E+07, -5.014414632741362E+03, -1.426022254879710E+01,  2.628960730751539E+01, -1.916717783455368E-03,
2460604.326388889, A.D. 2024-Oct-20 19:50:00.0000,  1.320173380411764E+08,  6.892825518169779E+07, -5.014529629975557E+03, -1.426054020363459E+01,  2.628944321396821E+01, -1.916523355189881E-03,
2460604.327083333, A.D. 2024-Oct-20 19:51:00.0000,  1.320164823992346E+08,  6.892983254336770E+07, -5.014644615538418E+03, -1.426085785696037E+01,  2.628927911657978E+01, -1.916328917868526E-03,
2460604.327777778, A.D. 2024-Oct-20 19:52:00.0000,  1.320156267382336E+08,  6.893140989519170E+07, -5.014759589444846E+03, -1.426117550877438E+01,  2.628911501535005E+01, -1.916134471493081E-03,
2460604.328472222, A.D. 2024-Oct-20 19:53:00.0000,  1.320147710581736E+08,  6.893298723716947E+07, -5.014874551679939E+03, -1.426149315907657E+01,  2.628895091027897E+01, -1.915940016068873E-03,
2460604.329166667, A.D. 2024-Oct-20 19:54:00.0000,  1.320139153590546E+08,  6.893456456930085E+07, -5.014989502239972E+03, -1.426181080786688E+01,  2.628878680136649E+01, -1.915745551606562E-03,
2460604.329861111, A.D. 2024-Oct-20 19:55:00.0000,  1.320130596408767E+08,  6.893614189158556E+07, -5.015104441139847E+03, -1.426212845514526E+01,  2.628862268861255E+01, -1.915551078113253E-03,
2460604.330555555, A.D. 2024-Oct-20 19:56:00.0000,  1.320122039036400E+08,  6.893771920402341E+07, -5.015219368375838E+03, -1.426244610091166E+01,  2.628845857201711E+01, -1.915356595590723E-03,
2460604.331250000, A.D. 2024-Oct-20 19:57:00.0000,  1.320113481473446E+08,  6.893929650661412E+07, -5.015334283936769E+03, -1.426276374516601E+01,  2.628829445158012E+01, -1.915162104051404E-03,
2460604.331944444, A.D. 2024-Oct-20 19:58:00.0000,  1.320104923719906E+08,  6.894087379935750E+07, -5.015449187830091E+03, -1.426308138790826E+01,  2.628813032730152E+01, -1.914967603495299E-03,
2460604.332638889, A.D. 2024-Oct-20 19:59:00.0000,  1.320096365775781E+08,  6.894245108225332E+07, -5.015564080048352E+03, -1.426339902913836E+01,  2.628796619918127E+01, -1.914773093936617E-03,
2460604.333333333, A.D. 2024-Oct-20 20:00:00.0000,  1.320087807641071E+08,  6.894402835530135E+07, -5.015678960602731E+03, -1.426371666885626E+01,  2.628780206721932E+01, -1.914578575375359E-03,
2460604.334027778, A.D. 2024-Oct-20 20:01:00.0000,  1.320079249315778E+08,  6.894560561850132E+07, -5.015793829478323E+03, -1.426403430706190E+01,  2.628763793141561E+01, -1.914384047820405E-03,
2460604.334722222, A.D. 2024-Oct-20 20:02:00.0000,  1.320070690799903E+08,  6.894718287185302E+07, -5.015908686682582E+03, -1.426435194375521E+01,  2.628747379177010E+01, -1.914189511277087E-03,
2460604.335416667, A.D. 2024-Oct-20 20:03:00.0000,  1.320062132093446E+08,  6.894876011535625E+07, -5.016023532215506E+03, -1.426466957893616E+01,  2.628730964828273E+01, -1.913994965756061E-03,
2460604.336111111, A.D. 2024-Oct-20 20:04:00.0000,  1.320053573196409E+08,  6.895033734901075E+07, -5.016138366080821E+03, -1.426498721260468E+01,  2.628714550095346E+01, -1.913800411259103E-03,
2460604.336805556, A.D. 2024-Oct-20 20:05:00.0000,  1.320045014108791E+08,  6.895191457281630E+07, -5.016253188263625E+03, -1.426530484476072E+01,  2.628698134978223E+01, -1.913605847787991E-03,
2460604.337500000, A.D. 2024-Oct-20 20:06:00.0000,  1.320036454830595E+08,  6.895349178677264E+07, -5.016367998778820E+03, -1.426562247540422E+01,  2.628681719476900E+01, -1.913411275362265E-03,
2460604.338194444, A.D. 2024-Oct-20 20:07:00.0000,  1.320027895361821E+08,  6.895506899087958E+07, -5.016482797618955E+03, -1.426594010453513E+01,  2.628665303591372E+01, -1.913216693981923E-03,
2460604.338888889, A.D. 2024-Oct-20 20:08:00.0000,  1.320019335702470E+08,  6.895664618513688E+07, -5.016597584784031E+03, -1.426625773215340E+01,  2.628648887321633E+01, -1.913022103650519E-03,
2460604.339583333, A.D. 2024-Oct-20 20:09:00.0000,  1.320010775852543E+08,  6.895822336954430E+07, -5.016712360274047E+03, -1.426657535825896E+01,  2.628632470667678E+01, -1.912827504378711E-03,
2460604.340277778, A.D. 2024-Oct-20 20:10:00.0000,  1.320002215812041E+08,  6.895980054410161E+07, -5.016827124085277E+03, -1.426689298285177E+01,  2.628616053629503E+01, -1.912632896171829E-03,
2460604.340972222, A.D. 2024-Oct-20 20:11:00.0000,  1.319993655580964E+08,  6.896137770880857E+07, -5.016941876217723E+03, -1.426721060593176E+01,  2.628599636207103E+01, -1.912438279040529E-03,
2460604.341666667, A.D. 2024-Oct-20 20:12:00.0000,  1.319985095159314E+08,  6.896295486366498E+07, -5.017056616675109E+03, -1.426752822749889E+01,  2.628583218400471E+01, -1.912243652977708E-03,
2460604.342361111, A.D. 2024-Oct-20 20:13:00.0000,  1.319976534547091E+08,  6.896453200867057E+07, -5.017171345457435E+03, -1.426784584755310E+01,  2.628566800209605E+01, -1.912049018002904E-03,
2460604.343055556, A.D. 2024-Oct-20 20:14:00.0000,  1.319967973744297E+08,  6.896610914382514E+07, -5.017286062560976E+03, -1.426816346609433E+01,  2.628550381634497E+01, -1.911854374121447E-03,
2460604.343750000, A.D. 2024-Oct-20 20:15:00.0000,  1.319959412750932E+08,  6.896768626912846E+07, -5.017400767978281E+03, -1.426848108312253E+01,  2.628533962675145E+01, -1.911659721335113E-03,
2460604.344444444, A.D. 2024-Oct-20 20:16:00.0000,  1.319950851566997E+08,  6.896926338458028E+07, -5.017515461727977E+03, -1.426879869863764E+01,  2.628517543331541E+01, -1.911465059652784E-03,
2460604.345138889, A.D. 2024-Oct-20 20:17:00.0000,  1.319942290192494E+08,  6.897084049018037E+07, -5.017630143787712E+03, -1.426911631263961E+01,  2.628501123603682E+01, -1.911270389081565E-03,
2460604.345833333, A.D. 2024-Oct-20 20:18:00.0000,  1.319933728627422E+08,  6.897241758592853E+07, -5.017744814168662E+03, -1.426943392512839E+01,  2.628484703491562E+01, -1.911075709625010E-03,
2460604.346527778, A.D. 2024-Oct-20 20:19:00.0000,  1.319925166871784E+08,  6.897399467182450E+07, -5.017859472870827E+03, -1.426975153610391E+01,  2.628468282995177E+01, -1.910881021295552E-03,
2460604.347222222, A.D. 2024-Oct-20 20:20:00.0000,  1.319916604925580E+08,  6.897557174786805E+07, -5.017974119894207E+03, -1.427006914556612E+01,  2.628451862114521E+01, -1.910686324087862E-03,
2460604.347916667, A.D. 2024-Oct-20 20:21:00.0000,  1.319908042788810E+08,  6.897714881405896E+07, -5.018088755235076E+03, -1.427038675351497E+01,  2.628435440849589E+01, -1.910491618026811E-03,
2460604.348611111, A.D. 2024-Oct-20 20:22:00.0000,  1.319899480461476E+08,  6.897872587039700E+07, -5.018203378893435E+03, -1.427070435995040E+01,  2.628419019200378E+01, -1.910296903099962E-03,
2460604.349305556, A.D. 2024-Oct-20 20:23:00.0000,  1.319890917943578E+08,  6.898030291688192E+07, -5.018317990858108E+03, -1.427102196487236E+01,  2.628402597166880E+01, -1.910102179325079E-03,
2460604.350000000, A.D. 2024-Oct-20 20:24:00.0000,  1.319882355235118E+08,  6.898187995351352E+07, -5.018432591151446E+03, -1.427133956828079E+01,  2.628386174749092E+01, -1.909907446707493E-03,
2460604.350694444, A.D. 2024-Oct-20 20:25:00.0000,  1.319873792336096E+08,  6.898345698029153E+07, -5.018547179751098E+03, -1.427165717017564E+01,  2.628369751947007E+01, -1.909712705250755E-03,
2460604.351388889, A.D. 2024-Oct-20 20:26:00.0000,  1.319865229246514E+08,  6.898503399721578E+07, -5.018661756675690E+03, -1.427197477055685E+01,  2.628353328760623E+01, -1.909517954960194E-03,
2460604.352083333, A.D. 2024-Oct-20 20:27:00.0000,  1.319856665966372E+08,  6.898661100428598E+07, -5.018776321910322E+03, -1.427229236942436E+01,  2.628336905189932E+01, -1.909323195848245E-03,
2460604.352777778, A.D. 2024-Oct-20 20:28:00.0000,  1.319848102495671E+08,  6.898818800150192E+07, -5.018890875454992E+03, -1.427260996677813E+01,  2.628320481234932E+01, -1.909128427916684E-03,
2460604.353472222, A.D. 2024-Oct-20 20:29:00.0000,  1.319839538834412E+08,  6.898976498886338E+07, -5.019005417320877E+03, -1.427292756261808E+01,  2.628304056895616E+01, -1.908933651176170E-03,
2460604.354166667, A.D. 2024-Oct-20 20:30:00.0000,  1.319830974982596E+08,  6.899134196637012E+07, -5.019119947500527E+03, -1.427324515694418E+01,  2.628287632171978E+01, -1.908738865624926E-03,
2460604.354861111, A.D. 2024-Oct-20 20:31:00.0000,  1.319822410940224E+08,  6.899291893402191E+07, -5.019234465982765E+03, -1.427356274975636E+01,  2.628271207064015E+01, -1.908544071278939E-03,
2460604.355555556, A.D. 2024-Oct-20 20:32:00.0000,  1.319813846707297E+08,  6.899449589181852E+07, -5.019348972782493E+03, -1.427388034105458E+01,  2.628254781571722E+01, -1.908349268138210E-03,
2460604.356250000, A.D. 2024-Oct-20 20:33:00.0000,  1.319805282283815E+08,  6.899607283975972E+07, -5.019463467895985E+03, -1.427419793083877E+01,  2.628238355695094E+01, -1.908154456215172E-03,
2460604.356944445, A.D. 2024-Oct-20 20:34:00.0000,  1.319796717669780E+08,  6.899764977784529E+07, -5.019577951319516E+03, -1.427451551910887E+01,  2.628221929434124E+01, -1.907959635508050E-03,
2460604.357638889, A.D. 2024-Oct-20 20:35:00.0000,  1.319788152865193E+08,  6.899922670607497E+07, -5.019692423049361E+03, -1.427483310586483E+01,  2.628205502788809E+01, -1.907764806032830E-03,
2460604.358333333, A.D. 2024-Oct-20 20:36:00.0000,  1.319779587870053E+08,  6.900080362444854E+07, -5.019806883100420E+03, -1.427515069110661E+01,  2.628189075759143E+01, -1.907569967785960E-03,
2460604.359027778, A.D. 2024-Oct-20 20:37:00.0000,  1.319771022684364E+08,  6.900238053296579E+07, -5.019921331442893E+03, -1.427546827483414E+01,  2.628172648345122E+01, -1.907375120783428E-03,
2460604.359722222, A.D. 2024-Oct-20 20:38:00.0000,  1.319762457308124E+08,  6.900395743162650E+07, -5.020035768110305E+03, -1.427578585704736E+01,  2.628156220546740E+01, -1.907180265025232E-03,
2460604.360416667, A.D. 2024-Oct-20 20:39:00.0000,  1.319753891741335E+08,  6.900553432043038E+07, -5.020150193087757E+03, -1.427610343774623E+01,  2.628139792363994E+01, -1.906985400522032E-03,
2460604.361111111, A.D. 2024-Oct-20 20:40:00.0000,  1.319745325983999E+08,  6.900711119937724E+07, -5.020264606356621E+03, -1.427642101693068E+01,  2.628123363796876E+01, -1.906790527275604E-03,
2460604.361805555, A.D. 2024-Oct-20 20:41:00.0000,  1.319736760036115E+08,  6.900868806846686E+07, -5.020379007939249E+03, -1.427673859460066E+01,  2.628106934845382E+01, -1.906595645296605E-03,
2460604.362500000, A.D. 2024-Oct-20 20:42:00.0000,  1.319728193897686E+08,  6.901026492769898E+07, -5.020493397839367E+03, -1.427705617075612E+01,  2.628090505509509E+01, -1.906400754588589E-03,
2460604.363194444, A.D. 2024-Oct-20 20:43:00.0000,  1.319719627568711E+08,  6.901184177707338E+07, -5.020607776034623E+03, -1.427737374539699E+01,  2.628074075789249E+01, -1.906205855160437E-03,
2460604.363888889, A.D. 2024-Oct-20 20:44:00.0000,  1.319711061049192E+08,  6.901341861658984E+07, -5.020722142536193E+03, -1.427769131852323E+01,  2.628057645684599E+01, -1.906010947021031E-03,
2460604.364583333, A.D. 2024-Oct-20 20:45:00.0000,  1.319702494339129E+08,  6.901499544624814E+07, -5.020836497344077E+03, -1.427800889013478E+01,  2.628041215195555E+01, -1.905816030170371E-03,
2460604.365277778, A.D. 2024-Oct-20 20:46:00.0000,  1.319693927438524E+08,  6.901657226604801E+07, -5.020950840458274E+03, -1.427832646023158E+01,  2.628024784322109E+01, -1.905621104619115E-03,
2460604.365972222, A.D. 2024-Oct-20 20:47:00.0000,  1.319685360347377E+08,  6.901814907598925E+07, -5.021065171875060E+03, -1.427864402881357E+01,  2.628008353064258E+01, -1.905426170372593E-03,
2460604.366666667, A.D. 2024-Oct-20 20:48:00.0000,  1.319676793065690E+08,  6.901972587607162E+07, -5.021179491601884E+03, -1.427896159588071E+01,  2.627991921421996E+01, -1.905231227436133E-03,
2460604.367361111, A.D. 2024-Oct-20 20:49:00.0000,  1.319668225593462E+08,  6.902130266629487E+07, -5.021293799623847E+03, -1.427927916143294E+01,  2.627975489395320E+01, -1.905036275822170E-03,
2460604.368055556, A.D. 2024-Oct-20 20:50:00.0000,  1.319659657930696E+08,  6.902287944665882E+07, -5.021408095955849E+03, -1.427959672547019E+01,  2.627959056984222E+01, -1.904841315525374E-03,
2460604.368750000, A.D. 2024-Oct-20 20:51:00.0000,  1.319651090077392E+08,  6.902445621716318E+07, -5.021522380582988E+03, -1.427991428799242E+01,  2.627942624188700E+01, -1.904646346565286E-03,
2460604.369444444, A.D. 2024-Oct-20 20:52:00.0000,  1.319642522033551E+08,  6.902603297780776E+07, -5.021636653516442E+03, -1.428023184899957E+01,  2.627926191008746E+01, -1.904451368938354E-03,
2460604.370138889, A.D. 2024-Oct-20 20:53:00.0000,  1.319633953799174E+08,  6.902760972859232E+07, -5.021750914752483E+03, -1.428054940849158E+01,  2.627909757444358E+01, -1.904256382655234E-03,
2460604.370833333, A.D. 2024-Oct-20 20:54:00.0000,  1.319625385374261E+08,  6.902918646951662E+07, -5.021865164283663E+03, -1.428086696646840E+01,  2.627893323495530E+01, -1.904061387728362E-03,
2460604.371527778, A.D. 2024-Oct-20 20:55:00.0000,  1.319616816758814E+08,  6.903076320058043E+07, -5.021979402113706E+03, -1.428118452292997E+01,  2.627876889162256E+01, -1.903866384152408E-03,
2460604.372222222, A.D. 2024-Oct-20 20:56:00.0000,  1.319608247952834E+08,  6.903233992178354E+07, -5.022093628242612E+03, -1.428150207787624E+01,  2.627860454444533E+01, -1.903671371943361E-03,
2460604.372916667, A.D. 2024-Oct-20 20:57:00.0000,  1.319599678956321E+08,  6.903391663312569E+07, -5.022207842677832E+03, -1.428181963130715E+01,  2.627844019342354E+01, -1.903476351102995E-03,
2460604.373611111, A.D. 2024-Oct-20 20:58:00.0000,  1.319591109769277E+08,  6.903549333460668E+07, -5.022322045411915E+03, -1.428213718322264E+01,  2.627827583855714E+01, -1.903281321634864E-03,
2460604.374305556, A.D. 2024-Oct-20 20:59:00.0000,  1.319582540391701E+08,  6.903707002622624E+07, -5.022436236437410E+03, -1.428245473362266E+01,  2.627811147984609E+01, -1.903086283553179E-03,
