JDTDB, Calendar Date (TDB), X, Y, Z, VX, VY, VZ,
2460603.500000000, A.D. 2024-Oct-20 00:00:00.0000,  6.649302608051282E+07,  2.186169120955794E+08,  2.950343934283048E+06, -2.226527736669618E+01,  9.110551466662049E+00,  7.369999073719340E-01,
2460603.541666667, A.D. 2024-Oct-20 01:00:00.0000,  6.641286629300234E+07,  2.186496943287489E+08,  2.952996921264157E+06, -2.226793733798214E+01,  9.101800227939346E+00,  7.368817345247849E-01,
2460603.583333333, A.D. 2024-Oct-20 02:00:00.0000,  6.633269693585549E+07,  2.186824450567379E+08,  2.955649482664555E+06, -2.227059382897518E+01,  9.093048587487676E+00,  7.367634723905558E-01,
2460603.625000000, A.D. 2024-Oct-20 03:00:00.0000,  6.625251802162824E+07,  2.187151642780958E+08,  2.958301618149176E+06, -2.227324682465717E+01,  9.084296544936111E+00,  7.366451135007526E-01,
2460603.666666667, A.D. 2024-Oct-20 04:00:00.0000,  6.617232956292655E+07,  2.187478519913924E+08,  2.960953327359185E+06, -2.227589631349942E+01,  9.075544111686366E+00,  7.365266526302596E-01,
2460603.708333333, A.D. 2024-Oct-20 05:00:00.0000,  6.609213157238255E+07,  2.187805081952524E+08,  2.963604609924912E+06, -2.227854229315201E+01,  9.066791305470559E+00,  7.364080892871150E-01,
2460603.750000000, A.D. 2024-Oct-20 06:00:00.0000,  6.601192406261627E+07,  2.188131328883637E+08,  2.966255465484902E+06, -2.228118477283243E+01,  9.058038142038798E+00,  7.362894284719643E-01,
2460603.791666667, A.D. 2024-Oct-20 07:00:00.0000,  6.593170704619709E+07,  2.188457260694514E+08,  2.968905893703103E+06, -2.228382376983698E+01,  9.049284624960420E+00,  7.361706785098261E-01,
2460603.833333333, A.D. 2024-Oct-20 08:00:00.0000,  6.585148053563558E+07,  2.188782877372242E+08,  2.971555894270495E+06, -2.228645929765996E+01,  9.040530741786929E+00,  7.360518451305391E-01,
2460603.875000000, A.D. 2024-Oct-20 09:00:00.0000,  6.577124454341782E+07,  2.189108178903312E+08,  2.974205466886267E+06, -2.228909135520923E+01,  9.031776474787700E+00,  7.359329267690948E-01,
2460603.916666667, A.D. 2024-Oct-20 10:00:00.0000,  6.569099908205735E+07,  2.189433165273703E+08,  2.976854611233264E+06, -2.229171992996373E+01,  9.023021814694406E+00,  7.358139167417108E-01,
2460603.958333333, A.D. 2024-Oct-20 11:00:00.0000,  6.561074416411930E+07,  2.189757836469298E+08,  2.979503326968178E+06, -2.229434500723834E+01,  9.014266765626138E+00,  7.356948079534402E-01,
2460604.000000000, A.D. 2024-Oct-20 12:00:00.0000,  6.553047980221340E+07,  2.190082192476335E+08,  2.982151613727182E+06, -2.229696657812800E+01,  9.005511342111133E+00,  7.355755965937067E-01,
2460604.041666667, A.D. 2024-Oct-20 13:00:00.0000,  6.545020600896305E+07,  2.190406233281659E+08,  2.984799471142024E+06, -2.229958464427009E+01,  8.996755562089412E+00,  7.354562841049468E-01,
2460604.083333333, A.D. 2024-Oct-20 14:00:00.0000,  6.536992279696520E+07,  2.190729958872695E+08,  2.987446898859262E+06, -2.230219921854384E+01,  8.987999438617498E+00,  7.353368771275464E-01,
2460604.125000000, A.D. 2024-Oct-20 15:00:00.0000,  6.528963017875825E+07,  2.191053369237091E+08,  2.990093896553978E+06, -2.230481031855551E+01,  8.979242969033420E+00,  7.352173838409843E-01,
2460604.166666667, A.D. 2024-Oct-20 16:00:00.0000,  6.520932816682933E+07,  2.191376464362123E+08,  2.992740463923708E+06, -2.230741795325387E+01,  8.970486137591175E+00,  7.350978076239634E-01,
2460604.208333333, A.D. 2024-Oct-20 17:00:00.0000,  6.512901677365959E+07,  2.191699244234459E+08,  2.995386600665137E+06, -2.231002211697322E+01,  8.961728928280571E+00,  7.349781447833421E-01,
2460604.250000000, A.D. 2024-Oct-20 18:00:00.0000,  6.504869601177017E+07,  2.192021708840358E+08,  2.998032306452990E+06, -2.231262279504538E+01,  8.952971336234826E+00,  7.348583878042971E-01,
2460604.291666667, A.D. 2024-Oct-20 19:00:00.0000,  6.496836589373441E+07,  2.192343858166170E+08,  3.000677580936641E+06, -2.231521997439011E+01,  8.944213370094646E+00,  7.347385305775860E-01,
2460604.333333333, A.D. 2024-Oct-20 20:00:00.0000,  6.488802643216076E+07,  2.192665692198708E+08,  3.003322423749819E+06, -2.231781364916217E+01,  8.935455046122955E+00,  7.346185708489359E-01,
2460604.375000000, A.D. 2024-Oct-20 21:00:00.0000,  6.480767763965918E+07,  2.192987210925415E+08,  3.005966834527791E+06, -2.232040382531840E+01,  8.926696382049780E+00,  7.344985121340706E-01,
2460604.416666667, A.D. 2024-Oct-20 22:00:00.0000,  6.472731952879789E+07,  2.193308414334238E+08,  3.008610812927768E+06, -2.232299051862893E+01,  8.917937385971298E+00,  7.343783622329325E-01,
2460604.458333333, A.D. 2024-Oct-20 23:00:00.0000,  6.464695211208495E+07,  2.193629302413131E+08,  3.011254358635232E+06, -2.232557374498232E+01,  8.909178050038122E+00,  7.342581282479088E-01,
2460604.500000000, A.D. 2024-Oct-21 00:00:00.0000,  6.456657540198817E+07,  2.193949875149546E+08,  3.013897471351981E+06, -2.232815350871255E+01,  8.900418356390668E+00,  7.341378112257733E-01,
2460604.541666667, A.D. 2024-Oct-21 01:00:00.0000,  6.448618941098908E+07,  2.194270132530337E+08,  3.016540150769725E+06, -2.233072979955991E+01,  8.891658292109790E+00,  7.340174053968127E-01,
2460604.583333333, A.D. 2024-Oct-21 02:00:00.0000,  6.440579415161666E+07,  2.194590074542126E+08,  3.019182396555379E+06, -2.233330260269847E+01,  8.882897857299419E+00,  7.338969034013676E-01,
2460604.625000000, A.D. 2024-Oct-21 03:00:00.0000,  6.432538963644888E+07,  2.194909701171756E+08,  3.021824208352476E+06, -2.233587190682259E+01,  8.874137063792904E+00,  7.337763001350388E-01,
2460604.666666667, A.D. 2024-Oct-21 04:00:00.0000,  6.424497587808909E+07,  2.195229012406629E+08,  3.024465585794285E+06, -2.233843771006553E+01,  8.865375929419773E+00,  7.336555953363373E-01,
2460604.708333333, A.D. 2024-Oct-21 05:00:00.0000,  6.416455288912604E+07,  2.195548008234773E+08,  3.027106528523251E+06, -2.234100002222974E+01,  8.856614469512458E+00,  7.335347942623454E-01,
2460604.750000000, A.D. 2024-Oct-21 06:00:00.0000,  6.408412068209745E+07,  2.195866688644574E+08,  3.029747036207512E+06, -2.234355886064126E+01,  8.847852687163886E+00,  7.334139052256661E-01,
2460604.791666667, A.D. 2024-Oct-21 07:00:00.0000,  6.400367926948169E+07,  2.196185053624226E+08,  3.032387108542189E+06, -2.234611423835585E+01,  8.839090569395418E+00,  7.332929337162408E-01,
2460604.833333333, A.D. 2024-Oct-21 08:00:00.0000,  6.392322866373536E+07,  2.196503103161327E+08,  3.035026745229438E+06, -2.234866615393287E+01,  8.830328098378633E+00,  7.331718779919845E-01,
2460604.875000000, A.D. 2024-Oct-21 09:00:00.0000,  6.384276887734335E+07,  2.196820837242961E+08,  3.037665945954472E+06, -2.235121459448754E+01,  8.821565265451337E+00,  7.330507312156258E-01,
2460604.916666667, A.D. 2024-Oct-21 10:00:00.0000,  6.376229992284279E+07,  2.197138255856147E+08,  3.040304710376337E+06, -2.235375954547079E+01,  8.812802075183697E+00,  7.329294863711153E-01,
2460604.958333333, A.D. 2024-Oct-21 11:00:00.0000,  6.368182181281406E+07,  2.197455358988260E+08,  3.042943038134098E+06, -2.235630099840227E+01,  8.804038542206456E+00,  7.328081398494311E-01,
2460605.000000000, A.D. 2024-Oct-21 12:00:00.0000,  6.360133455984998E+07,  2.197772146627293E+08,  3.045580928862989E+06, -2.235883895533007E+01,  8.795274684625442E+00,  7.326866932919174E-01,
2460605.041666667, A.D. 2024-Oct-21 13:00:00.0000,  6.352083817651500E+07,  2.198088618761811E+08,  3.048218382213935E+06, -2.236137342946730E+01,  8.786510514575449E+00,  7.325651534519024E-01,
2460605.083333333, A.D. 2024-Oct-21 14:00:00.0000,  6.344033267531522E+07,  2.198404775380567E+08,  3.050855397866130E+06, -2.236390443852720E+01,  8.777746029251377E+00,  7.324435285516810E-01,
2460605.125000000, A.D. 2024-Oct-21 15:00:00.0000,  6.335981806870526E+07,  2.198720616471936E+08,  3.053491975521281E+06, -2.236643199071069E+01,  8.768981212216804E+00,  7.323218215741405E-01,
2460605.166666667, A.D. 2024-Oct-21 16:00:00.0000,  6.327929436913744E+07,  2.199036142023671E+08,  3.056128114878416E+06, -2.236895607982149E+01,  8.760216047714120E+00,  7.322000285781458E-01,
2460605.208333333, A.D. 2024-Oct-21 17:00:00.0000,  6.319876158910370E+07,  2.199351352023147E+08,  3.058763815614894E+06, -2.237147669133080E+01,  8.751450531588285E+00,  7.320781421444438E-01,
2460605.250000000, A.D. 2024-Oct-21 18:00:00.0000,  6.311821974114954E+07,  2.199666246457829E+08,  3.061399077381968E+06, -2.237399381188947E+01,  8.742684672656740E+00,  7.319561560362202E-01,
2460605.291666667, A.D. 2024-Oct-21 19:00:00.0000,  6.303766883785409E+07,  2.199980825315666E+08,  3.064033899816141E+06, -2.237650743655245E+01,  8.733918487491412E+00,  7.318340684432556E-01,
2460605.333333333, A.D. 2024-Oct-21 20:00:00.0000,  6.295710889179523E+07,  2.200295088585232E+08,  3.066668282556728E+06, -2.237901757114994E+01,  8.725151993635578E+00,  7.317118828073110E-01,
2460605.375000000, A.D. 2024-Oct-21 21:00:00.0000,  6.287653991551014E+07,  2.200609036255599E+08,  3.069302225264460E+06, -2.238152423206722E+01,  8.716385198542870E+00,  7.315896071934485E-01,
