JDTDB, Calendar Date (TDB), X, Y, Z, VX, VY, VZ,
2460604.291666667, A.D. 2024-Oct-20 19:00:00.0000,  6.496836589373441E+07,  2.192343858166170E+08,  3.000677580936641E+06, -2.231521997439011E+01,  8.944213370094646E+00,  7.347385305775860E-01,
2460604.292361111, A.D. 2024-Oct-20 19:01:00.0000,  6.496702697923824E+07,  2.192349224650402E+08,  3.000721665188521E+06, -2.231526323102486E+01,  8.944067400910047E+00,  7.347365320887445E-01,
2460604.293055556, A.D. 2024-Oct-20 19:02:00.0000,  6.496568806214671E+07,  2.192354591047052E+08,  3.000765749320492E+06, -2.231530648668570E+01,  8.943921431625970E+00,  7.347345335712259E-01,
2460604.293750000, A.D. 2024-Oct-20 19:03:00.0000,  6.496434914245986E+07,  2.192359957356120E+08,  3.000809833332554E+06, -2.231534974137264E+01,  8.943775462242508E+00,  7.347325350250284E-01,
2460604.294444445, A.D. 2024-Oct-20 19:04:00.0000,  6.496301022017775E+07,  2.192365323577606E+08,  3.000853917224720E+06, -2.231539299508565E+01,  8.943629492759751E+00,  7.347305364501593E-01,
2460604.295138889, A.D. 2024-Oct-20 19:05:00.0000,  6.496167129530048E+07,  2.192370689711511E+08,  3.000898000996932E+06, -2.231543624782475E+01,  8.943483523177791E+00,  7.347285378466180E-01,
2460604.295833333, A.D. 2024-Oct-20 19:06:00.0000,  6.496033236782804E+07,  2.192376055757834E+08,  3.000942084649250E+06, -2.231547949958994E+01,  8.943337553496724E+00,  7.347265392144093E-01,
2460604.296527778, A.D. 2024-Oct-20 19:07:00.0000,  6.495899343776053E+07,  2.192381421716576E+08,  3.000986168181643E+06, -2.231552275038122E+01,  8.943191583716638E+00,  7.347245405535396E-01,
2460604.297222222, A.D. 2024-Oct-20 19:08:00.0000,  6.495765450509802E+07,  2.192386787587734E+08,  3.001030251594111E+06, -2.231556600019859E+01,  8.943045613837624E+00,  7.347225418640102E-01,
2460604.297916667, A.D. 2024-Oct-20 19:09:00.0000,  6.495631556984053E+07,  2.192392153371311E+08,  3.001074334886655E+06, -2.231560924904205E+01,  8.942899643859780E+00,  7.347205431458317E-01,
2460604.298611111, A.D. 2024-Oct-20 19:10:00.0000,  6.495497663198815E+07,  2.192397519067307E+08,  3.001118418059275E+06, -2.231565249691163E+01,  8.942753673783194E+00,  7.347185443990067E-01,
2460604.299305555, A.D. 2024-Oct-20 19:11:00.0000,  6.495363769154092E+07,  2.192402884675721E+08,  3.001162501111984E+06, -2.231569574380731E+01,  8.942607703607969E+00,  7.347165456235434E-01,
2460604.300000000, A.D. 2024-Oct-20 19:12:00.0000,  6.495229874849892E+07,  2.192408250196552E+08,  3.001206584044769E+06, -2.231573898972911E+01,  8.942461733334188E+00,  7.347145468194518E-01,
2460604.300694444, A.D. 2024-Oct-20 19:13:00.0000,  6.495095980286217E+07,  2.192413615629801E+08,  3.001250666857600E+06, -2.231578223467704E+01,  8.942315762961950E+00,  7.347125479867369E-01,
2460604.301388889, A.D. 2024-Oct-20 19:14:00.0000,  6.494962085463078E+07,  2.192418980975467E+08,  3.001294749550521E+06, -2.231582547865111E+01,  8.942169792491351E+00,  7.347105491254089E-01,
2460604.302083333, A.D. 2024-Oct-20 19:15:00.0000,  6.494828190380476E+07,  2.192424346233552E+08,  3.001338832123503E+06, -2.231586872165134E+01,  8.942023821922483E+00,  7.347085502354789E-01,
2460604.302777778, A.D. 2024-Oct-20 19:16:00.0000,  6.494694295038419E+07,  2.192429711404054E+08,  3.001382914576516E+06, -2.231591196367773E+01,  8.941877851255439E+00,  7.347065513169548E-01,
2460604.303472222, A.D. 2024-Oct-20 19:17:00.0000,  6.494560399436913E+07,  2.192435076486973E+08,  3.001426996909663E+06, -2.231595520473031E+01,  8.941731880490318E+00,  7.347045523698488E-01,
2460604.304166667, A.D. 2024-Oct-20 19:18:00.0000,  6.494426503575964E+07,  2.192440441482310E+08,  3.001471079122826E+06, -2.231599844480909E+01,  8.941585909627209E+00,  7.347025533941718E-01,
2460604.304861111, A.D. 2024-Oct-20 19:19:00.0000,  6.494292607455578E+07,  2.192445806390064E+08,  3.001515161216065E+06, -2.231604168391408E+01,  8.941439938666212E+00,  7.347005543899372E-01,
2460604.305555556, A.D. 2024-Oct-20 19:20:00.0000,  6.494158711075759E+07,  2.192451171210236E+08,  3.001559243189350E+06, -2.231608492204531E+01,  8.941293967607418E+00,  7.346985553571561E-01,
2460604.306250000, A.D. 2024-Oct-20 19:21:00.0000,  6.494024814436515E+07,  2.192456535942825E+08,  3.001603325042710E+06, -2.231612815920280E+01,  8.941147996450923E+00,  7.346965562958410E-01,
2460604.306944444, A.D. 2024-Oct-20 19:22:00.0000,  6.493890917537851E+07,  2.192461900587832E+08,  3.001647406776115E+06, -2.231617139538655E+01,  8.941002025196825E+00,  7.346945572060082E-01,
